data_format,postcode,year_completed,clue_small_area,clue_block,street_address,property_id,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,intitutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,Location 1
Post May 16,3006,2018.0,Southbank,751,Victorian College Of The Arts 234 St Kilda Road SOUTHBANK VIC 3006,108654,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2016-280,"(-37.82445562, 144.9693876)"
Post May 16,3000,2018.0,Melbourne (CBD),105,58-64 A'Beckett Street MELBOURNE VIC 3000,100170,57.0,463,0,146,317,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,80,135,TPM-2010-29/B,"(-37.80880342, 144.9614852)"
Post May 16,3006,2018.0,Southbank,733,312-320 City Road SOUTHBANK VIC 3006,110399,43.0,494,0,148,334,12,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,180,32,TPM-2010-31,"(-37.82712269, 144.9582484)"
Post May 16,3053,2018.0,Carlton,252,103 Drummond Street CARLTON VIC 3053,102632,3.0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,TP-2015-384,"(-37.80423245, 144.96735)"
Post May 16,3004,2018.0,Melbourne (Remainder),863,Melbourne Grammar School 321-369 St Kilda Road MELBOURNE VIC 3004,108616,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2016-297,"(-37.83406325, 144.9765361)"
Post May 16,3008,2018.0,Docklands,773,94-106 South Wharf Drive DOCKLANDS VIC 3008,668840,4.0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,TP-2016-289,"(-37.8216, 144.9345)"
Post May 16,3000,2013.0,Melbourne (CBD),14,31-39 Elizabeth Street MELBOURNE VIC 3000,103172,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,TP-2011-829/A,"(-37.81742176, 144.9643344)"
Post May 16,3053,2015.0,Carlton,257,123-127 Bouverie Street CARLTON VIC 3053,101246,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2013-947/A,"(-37.80349578, 144.9614617)"
Post May 16,3000,2018.0,Melbourne (CBD),26,141-165 Collins Street MELBOURNE VIC 3000,102073,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2016-414,"(-37.81545156, 144.9687613)"
Post May 16,3006,2018.0,Southbank,804,Melbourne Convention Exhibition Centre 2-26 Clarendon Street SOUTH WHARF VIC 3006,110484,21.0,0,0,0,0,0,0,0,0,0,305,0,305,0,0,0,0,0,0,0,0,0,0,0,1190,0,ID-2016-3,"(-37.82538979, 144.9523045)"
Post May 16,3003,2018.0,West Melbourne (Residential),423,14-20 Roden Street WEST MELBOURNE VIC 3003,110949,4.0,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,TP-2014-22,"(-37.80574413, 144.9500598)"
Post May 16,3006,2018.0,Southbank,730,61-63 Haig Street SOUTHBANK VIC 3006,110472,38.0,163,0,104,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,197,TP-2013-1006/A,"(-37.82774772, 144.9567869)"
Post May 16,3003,2018.0,West Melbourne (Residential),410,109-129 Ireland Street WEST MELBOURNE VIC 3003,105083,10.0,160,0,62,98,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,114,69,TP-2014-843/A,"(-37.80667984, 144.9423605)"
Post May 16,3000,2018.0,Melbourne (CBD),103,229-241 Franklin Street MELBOURNE VIC 3000,104088,24.0,0,0,0,0,0,333,691,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,TP-2015-580,"(-37.80970685, 144.9571019)"
Post May 16,3141,2018.0,South Yarra,861,157-159 Domain Road SOUTH YARRA VIC 3141,102502,4.0,12,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2014-1084,"(-37.83428465, 144.9814521)"
